线路,临时车辆编号,车牌号,方向,始发站,发车时间,终点站,班次类型,班次类型判定依据,到达时间,全程时间,车速（km/h）,当日平均车速（km/h）,到达时间说明,到达误差估计（分钟）,本车首次观测,本车末次观测,数据源,区间站,区间站到达时间,区间站折返发车时间,区间时间说明,计划发车时间,发车时间依据,到达置信度,到达估算方法,参与车速排名,当日实际运营次数,当日计入排名班次,当日平均全程时间（分钟）,当日车速排名
浦东78路,,沪A36809D,1,锦带路迎春路（浦东新区办公中心）,10:35,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,11:58,83分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:30,19:30,SHMAAS,,,,,10:35,计划发车,A,终点ETA确认/一致估算,是,7,7,91.9,14/18
浦东78路,,沪A35186D,1,锦带路迎春路（浦东新区办公中心）,10:45,港城路地铁站,疑似区间车,原方向在全程42%处后消失；随后反向物理轨迹由seq22推进至seq36，推进14站，达到≥2站确认条件,待确认,待确认,,,尚无满足±5分钟标准的终点ETA,,06:50,21:10,SHMAAS,五莲路凌河路,11:26,,区间折返已由主分类器确认；折返点按重建物理位置seq18映射；现有采样不足以把折返发车时间控制在±10分钟,10:45,计划发车,D,待确认,否,6,5,90.0,11/18
浦东78路,,沪A35616D,0,港城路地铁站,10:45,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:01,76分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,17:50,SHMAAS,,,,,10:45,计划发车,A,终点ETA确认/一致估算,是,6,6,88.5,9/18
浦东78路,,沪A56123D,1,锦带路迎春路（浦东新区办公中心）,11:00,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:21,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,07:00,19:40,SHMAAS,,,,,11:00,计划发车,A,终点ETA确认/一致估算,是,7,7,88.3,8/18
浦东78路,,沪A57022D,0,港城路地铁站,11:10,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:33,83分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,20:00,SHMAAS,,,,,11:10,计划发车,A,终点ETA确认/一致估算,是,7,7,89.1,10/18
浦东78路,,沪A52736D,1,锦带路迎春路（浦东新区办公中心）,11:25,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:46,81分钟,,,SHMAAS多次终点ETA一致估算，约±5分钟,5,06:00,18:12,SHMAAS,,,,,11:25,计划发车,A,终点ETA确认/一致估算,是,6,6,84.0,2/18
浦东78路,,沪A66391D,0,港城路地铁站,11:35,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,12:54,79分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:00,18:40,SHMAAS,,,,,11:35,计划发车,A,终点ETA确认/一致估算,是,6,6,82.5,1/18
浦东78路,,沪A58633D,1,锦带路迎春路（浦东新区办公中心）,11:50,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:11,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,19:10,SHMAAS,,,,,11:50,计划发车,A,终点ETA确认/一致估算,是,7,7,90.9,13/18
浦东78路,,沪A35172D,0,港城路地铁站,12:00,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:25,85分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,06:30,19:30,SHMAAS,,,,,12:00,计划发车,A,终点ETA确认/一致估算,是,7,7,93.7,16/18
浦东78路,,沪A55207D,1,锦带路迎春路（浦东新区办公中心）,12:15,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,13:41,86分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:00,19:40,SHMAAS,,,,,12:15,计划发车,A,终点ETA确认/一致估算,是,7,7,94.3,17/18
浦东78路,,沪A36809D,0,港城路地铁站,12:25,锦带路迎春路（浦东新区办公中心）,全程车,未形成反向≥2站物理推进证据或可靠时空矛盾,13:53,88分钟,,,SHMAAS末次终点ETA推算：13:40采样，终点ETA 13分钟,,06:30,19:30,SHMAAS,,,,,12:25,计划发车,B,末次终点ETA兜底,是,7,7,91.9,14/18
浦东78路,,沪A35616D,1,锦带路迎春路（浦东新区办公中心）,12:40,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:01,81分钟,,,SHMAAS终点近站ETA直接确认，约±2分钟,2,06:30,17:50,SHMAAS,,,,,12:40,计划发车,A,终点ETA确认/一致估算,是,6,6,88.5,9/18
浦东78路,,沪A56123D,0,港城路地铁站,12:50,锦带路迎春路（浦东新区办公中心）,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:17,87分钟,,,SHMAAS多次终点ETA一致估算，约±3分钟,3,07:00,19:40,SHMAAS,,,,,12:50,计划发车,A,终点ETA确认/一致估算,是,7,7,88.3,8/18
浦东78路,,沪A57022D,1,锦带路迎春路（浦东新区办公中心）,13:05,港城路地铁站,全程车,已取得可靠同向线路终点ETA，按全程车保护,14:34,89分钟,,,SHMAAS终点ETA近站估算，约±5分钟,5,07:00,20:00,SHMAAS,,,,,13:05,计划发车,A,终点ETA确认/一致估算,是,7,7,89.1,10/18
