线路,车牌号,方向,发车时间,计划发车时间,发车时间依据,到达时间,全程时间,班次类型,班次类型判定依据,到达置信度,到达估算方法,参与车速排名,本车首次观测,最后可靠采集站点,最后可靠预计到达时间,备注,当日车速排名,当日计入排名班次,当日平均全程时间（分钟）
浦东78路,沪A56630D,1,21:40,21:40,SHMAAS待发计划,23:03,83,全程车,未发现可靠中途折返证据,A,多次终点ETA一致,是,06:25,,,多次终点ETA一致推算，约±3分钟,3,1,83
浦东78路,沪A57022D,0,07:00,07:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:38,金杨路金口路,08:21,,8,1,98
浦东78路,沪A57022D,1,08:57,08:57,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:38,杨高北路夏碧路,10:00,,8,1,98
浦东78路,沪A57022D,0,10:45,10:45,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:38,金杨路金口路,11:59,存在终点ETA，但运行轨迹仍需复核,8,1,98
浦东78路,沪A57022D,1,12:40,12:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:38,大同路石家街（市七医院）,13:52,存在终点ETA，但运行轨迹仍需复核,8,1,98
浦东78路,沪A57022D,0,14:35,14:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:38,丁香路金松路,15:52,存在终点ETA，但运行轨迹仍需复核,8,1,98
浦东78路,沪A57022D,1,16:25,16:25,SHMAAS待发计划,18:03,98,全程车,未发现可靠中途折返证据,B,末次终点ETA,是,06:38,,,末次终点ETA推算，约±10分钟,8,1,98
浦东78路,沪A57902D,0,07:42,07:42,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:24,丁香路金松路,09:10,,9,1,98
浦东78路,沪A57902D,1,15:00,15:00,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,07:24,港城路地铁站,16:20,存在终点ETA，但运行轨迹仍需复核,9,1,98
浦东78路,沪A57902D,0,16:40,16:40,SHMAAS待发计划,18:18,98,全程车,未发现可靠中途折返证据,C,末次终点ETA,是,07:24,,,末次终点ETA推算，约±15分钟,9,1,98
浦东78路,沪A57902D,1,18:35,18:35,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,07:24,,,,9,1,98
浦东78路,沪A58633D,0,06:10,06:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,锦带路迎春路（浦东新区办公中心）,07:51,存在终点ETA，但运行轨迹仍需复核,10,1,99
浦东78路,沪A58633D,1,08:05,08:05,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,大同路石家街（市七医院）,09:28,存在终点ETA，但运行轨迹仍需复核,10,1,99
浦东78路,沪A58633D,0,14:20,14:20,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,05:51,丁香路金松路,15:41,存在终点ETA，但运行轨迹仍需复核,10,1,99
浦东78路,沪A58633D,1,16:15,16:15,SHMAAS待发计划,17:54,99,全程车,未发现可靠中途折返证据,A,终点近站ETA,是,05:51,,,终点近站ETA推算，约±5分钟,10,1,99
浦东78路,沪A58633D,0,18:25,18:25,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,05:51,,,,10,1,99
浦东78路,沪A59117D,0,07:30,07:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:10,杨高北路夏碧路,07:51,,,0,
浦东78路,沪A59117D,1,09:30,09:30,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,港城路地铁站,10:52,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A59117D,0,11:35,11:35,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,锦带路迎春路（浦东新区办公中心）,12:54,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A59117D,1,13:30,13:30,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:10,杨高北路夏碧路,14:26,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A59117D,0,15:25,15:25,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:10,丁香路金松路,16:37,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A59117D,1,17:15,17:15,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:10,,,,,0,
浦东78路,沪A66391D,1,06:40,06:40,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,大同路石家街（市七医院）,07:55,,,0,
浦东78路,沪A66391D,0,08:18,08:18,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金杨路金口路,09:30,,,0,
浦东78路,沪A66391D,1,10:10,10:10,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,大同路石家街（市七医院）,11:15,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A66391D,0,12:00,12:00,SHMAAS待发计划,待确认,,运行异常待查,存在方向切换，但未达到提前反向80%判据,D,证据不足,否,06:25,金杨路金口路,12:57,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A66391D,1,13:55,13:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,大同路石家街（市七医院）,15:04,,,0,
浦东78路,沪A66391D,0,15:55,15:55,SHMAAS待发计划,待确认,,运行异常待查,末次同向观测已进入线路末段，存在终点漏采可能,D,证据不足,否,06:25,丁香路金松路,17:16,存在终点ETA，但运行轨迹仍需复核,,0,
浦东78路,沪A66391D,1,17:40,17:40,SHMAAS待发计划,待确认,,全程车,未发现可靠中途折返证据,D,证据不足,否,06:25,,,,,0,
